Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,RT similarity,m/z similarity,Simple dot product,Weighted dot product,Reverse dot product,Matched peaks count,Matched peaks percentage,Total score,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,5102023_All_QC_003,5102023_All_QC_040,5102023_BLD_1_022,5102023_BLD_2_023,5102023_BLD_QC_021,5102023_GER_1_032,5102023_GER_2_033,5102023_GER_3_034,5102023_GER_4_035,5102023_GER_5_036,5102023_GER_6_037,5102023_GER_QC_031,5102023_IPA_1_012,5102023_IPA_2_013,5102023_IPA_QC_011,5102023_SOU_1_017,5102023_SOU_2_018,5102023_SOU_QC_016,5102023_STU_1_007,5102023_STU_2_008,5102023_STU_QC_006,5102023_WHE_1_027,5102023_WHE_2_028,5102023_WHE_QC_026,582023_All_QC_003,582023_BLD_1_022,582023_BLD_2_023,582023_BLD_QC_021,582023_GER_1_032,582023_GER_2_033,582023_GER_3_034,582023_GER_4_035,582023_GER_5_036,582023_GER_6_037,582023_GER_QC_031,582023_IPA_1_012,582023_IPA_2_013,582023_IPA_QC_011,582023_SOU_1_017,582023_SOU_2_018,582023_SOU_QC_016,582023_STU_1_007,582023_STU_2_008,582023_STU_QC_006,582023_WHE_1_027,582023_WHE_2_028,582023_WHE_QC_026,592023_All_QC_003,592023_All_QC_040,592023_BLD_1_022,592023_BLD_2_023,592023_BLD_QC_021,592023_GER_1_032,592023_GER_2_033,592023_GER_3_034,592023_GER_4_035,592023_GER_5_036,592023_GER_6_037,592023_GER_QC_031,592023_IPA_1_012,592023_IPA_2_013,592023_IPA_QC_011,592023_SOU_1_017,592023_SOU_2_018,592023_SOU_QC_016,592023_STU_1_007,592023_STU_2_008,592023_STU_QC_006,592023_WHE_1_027,592023_WHE_2_028,592023_WHE_QC_026,1,2,3,4,5,6,7,1,2,3,4,5,6,7
736,10.04,307.85404,Unknown,[M-H]-,null,0.07,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,736,0,0,null,null,null,null,null,null,null,13590.78,582023_All_QC_003,307.85404:28637 307.94249:203 307.95475:415 308.05833:252 308.78055:4166 308.86042:10195 308.97233:255 309.85490:4453,68.99459:683 101.93921:3479 102.94648:905 112.98386:1387 116.89611:798 129.87888:3624 130.88959:676 130.96308:1207 145.92763:3189 146.93624:1163 146.95759:673 158.97939:558 169.92763:1017 171.87102:685 173.86886:4185 174.87436:1441 174.95532:2728 210.88000:2174 215.86658:826 216.86347:585 217.85902:5447 218.86250:1531 219.87327:913 262.85566:947 263.85752:1334 302.81900:625,176501,772280,772172,759738,770555,740845,758539,710483,741963,742579,683451,715954,295066,714924,628781,306887,756071,771996,268944,349907,278470,743285,760152,735964,634614,645343,626399,593202,607877,564675,560068,572925,594788,579712,614977,709120,531285,540237,541774,596425,594167,508221,649291,751834,600381,585241,601778,145876,683175,676054,678850,672365,709009,681975,679321,667522,668466,646994,645645,281792,609997,614647,638839,651725,656124,345077,411131,317318,645503,648123,653786,482489.2231,688297.6024,661322.2224,547316.5677,612667.4263,431132.6933,663801.5547,297629.3319,65304.66814,63966.95988,159613.4425,136557.0081,170789.6096,66642.90821
737,10.243,307.85478,Unknown,[M-H]-,null,0.04,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,737,0,0,null,null,null,null,null,null,null,20105.96,5102023_IPA_1_012,307.85445:25922 307.91304:424 307.94832:1769 308.04510:529 308.14925:170 308.77625:212 308.86140:13225 308.92617:407 308.94358:652 309.86304:4080,101.93949:3174 102.94791:1521 112.98422:505 114.98579:603 129.88212:3136 130.88632:1433 130.96548:832 145.92877:3326 146.93392:1365 158.97834:841 173.86994:4322 174.87530:1467 174.95468:1413 193.90866:539 214.92511:1213 217.86064:4992 218.86550:1913 219.87549:608 235.92124:899 263.86510:1298,87087,888124,882844,874564,890485,862066,878049,826803,863598,868015,798778,829692,954608,817514,706024,1233221,877959,887576,272067,353498,288922,862435,879494,849753,239362,721360,691410,666554,681082,639162,625454,652081,661989,644174,687702,322030,588524,590195,605627,664150,654744,218214,255933,292430,670040,646289,664385,158356,786125,770324,772519,771544,811572,778731,786708,767748,769047,741157,740551,919092,700776,701588,737023,744455,747896,360304,450474,327289,745231,744359,745121,431810.6966,782400.3999,757817.1487,700039.0278,794739.0992,313236.7978,756345.3747,375635.6252,83705.08206,83935.31202,191709.5203,189828.9807,68829.56847,89132.28629
738,10.142,307.85556,Unknown,[M-H]-,null,0.86,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,738,0,0,null,null,null,null,null,null,null,17010.27,5102023_SOU_QC_016,307.85517:27066 307.88441:5506 307.91050:335 307.94837:779 307.96078:296 307.97270:689 308.04716:198 308.86039:8020 308.93891:882 308.96615:309 309.85987:4542 309.93545:209,101.94049:3950 102.94711:1502 112.98220:591 127.88482:558 129.87997:2635 130.88582:618 130.96925:522 134.98617:531 143.93393:501 145.92945:7168 146.93762:945 146.96023:681 173.86984:4606 174.87525:1058 174.95365:2433 214.92620:638 215.86313:1017 217.86032:6268 218.86893:519 219.86654:522 235.92311:1145 263.86566:1538,162470,974381,1013215,1065508,1136959,1208882,1025133,909122,1261579,1281458,880020,967314,786966,998957,880497,794223,1169882,1066013,357576,456616,356781,1068087,1023305,932053,535519,975828,893338,895715,996401,877152,828667,924809,1030492,866117,932266,566911,742661,805393,821642,895589,867492,398918,463992,543981,901626,939282,887297,173066,967754,1083382,1043093,989658,942756,1116653,1123356,891176,894541,860211,861254,721743,1027100,924577,1111078,898179,940467,420626,523067,395934,913820,913148,914414,562637.9919,1010744.16,984731.3091,828311.595,951618.3714,435276.6224,943670.208,401960.0368,82111.06752,137503.5083,145724.3813,132766.9486,67163.09015,60827.23991
739,1.318,308.11327,Unknown,[M-H]-,null,0.07,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,739,0,0,null,null,null,null,null,null,null,6021.45,5102023_IPA_2_013,308.11224:21769 308.18427:575 308.20367:386 308.99135:6742 309.08007:1084 309.11536:7632 309.95936:742 309.99870:8593 310.06538:242 310.08708:311 310.09986:638 310.12403:1126,101.02322:622 101.94036:790 112.98486:942 125.02864:1852 127.94163:642 144.07729:901 145.92788:1063 147.04369:1007 150.05389:556 162.98657:517 164.06855:1127 186.09084:2573 214.07316:838 220.00490:3092 257.07451:620 258.14619:1048 263.99554:1418 302.16965:906 303.07695:766 308.11412:1253,128022,68665,106834,69711,98933,85074,53327,73081,58075,73916,186759,63136,96384,284722,202717,33159,129601,48523,72383,98351,101260,99123,50262,61799,33042,63654,56870,36472,55927,58488,53110,41938,37942,109713,50998,43287,164888,85499,9814,47671,35665,35737,21630,40386,86790,32950,55388,65305,51312,70732,47622,50176,72771,33072,49045,45601,53242,125115,60558,59372,193366,153892,14442,45270,44890,84849,61627,43193,77962,40703,67696,69269.13483,66778.16837,68613.67747,142680.731,45448.31846,62157.53939,63630.27964,35717.3299,23269.27739,34995.9815,78422.32685,34594.91777,28794.33888,21607.19567
740,10.04,308.86267,Unknown,[M-H]-,null,0.11,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,740,0,0,null,null,null,null,null,null,null,15236.78,5102023_STU_2_008,308.86215:58003 308.92804:1214 308.94488:1335 308.96068:531 308.97960:1406 309.06304:439 309.08576:601 309.15451:498 309.37594:395 309.43003:248 309.86187:6256 310.86176:7482 310.92890:1462,101.93970:802 102.94738:3719 114.98820:935 118.94110:698 128.87149:895 129.88264:656 130.88763:2418 145.94006:660 146.93726:3736 158.97737:1160 172.86082:1196 173.86929:1249 174.87695:4409 174.95331:962 190.92920:1049 214.92644:1199 216.87186:732 217.85709:1293 218.86641:5213 260.92468:720 262.85657:3073 263.86212:624,510219,143321,168999,158878,171095,161704,152609,148684,233630,163094,150407,159326,390005,299832,545427,171268,166502,192297,633400,754734,628073,163370,148435,156347,196945,214093,192283,154162,152512,178854,215708,180949,221075,189628,196381,240819,249087,179012,215427,251225,222462,134391,138192,221818,196592,175013,221930,428928,184498,134935,134354,154969,138799,132378,196497,175898,138749,123193,132268,187947,176054,214447,138759,136170,150857,520413,468525,587738,130917,131487,244843,292782.1869,164863.024,168683.0337,275847.805,182774.1063,454142.757,174325.9654,165123.7048,25753.91183,31131.69489,121991.7306,40222.29957,232171.1139,39636.12536
741,1.318,308.99334,Unknown,[M-H]-,null,0.03,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,741,0,0,null,null,null,null,null,null,null,5745,5102023_BLD_2_023,308.99263:20692 309.05697:258 309.07809:330 309.08848:375 309.11369:2336 309.95897:673 309.99885:10327 310.10580:635 310.12507:210 310.92915:827 311.00157:2056,101.93929:2595 112.98403:525 127.94499:660 145.92921:2191 147.04492:572 164.07317:895 174.95732:720 186.09291:647 214.92499:916 220.00408:2684 263.99544:2363,19879,208839,103023,256237,252273,43175,261785,19482,43525,253482,19563,64488,48860,49148,39948,165407,42358,154428,27756,27773,17085,223284,43482,174553,33349,44880,172977,45389,12560,156560,7816,21416,109292,8829,30044,106872,45868,110726,110843,32802,151787,37715,21460,21126,134066,21045,51929,11889,212965,62162,219232,159399,35308,212726,12982,33844,199993,13234,58086,48889,49919,47264,117770,33702,77591,29361,32260,18375,203907,32894,199789,97384.07827,146174.5748,77056.72358,60832.68243,98520.71802,25878.91803,120549.9181,103920.7776,85834.16139,85511.68046,27374.1067,53702.52398,6853.902171,83001.17532
742,1.42,308.99394,Unknown,[M-H]-,null,0.01,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,742,0,0,null,null,null,null,null,null,null,5400.5,5102023_All_QC_040,308.99394:6279 309.07544:796 309.10490:652 309.86008:1105 309.88022:523 309.89164:577 309.99800:2541 310.08173:275 310.92436:1128 310.99439:518,145.93005:842 174.95596:951 219.07559:573 235.92560:558 267.09606:528,35471,247165,128646,238367,227351,63545,244415,32729,61533,231933,30594,89027,66847,69746,58346,194738,58356,186999,45270,45745,32690,201601,61711,217253,45507,61998,160796,62473,22983,185236,16416,30200,126077,16271,43145,99702,63392,133140,129267,43608,133098,52253,31787,31681,164992,31719,71551,24804,191295,84060,205801,191465,51467,197551,23295,48242,185039,21837,78346,66897,69700,65957,145790,45873,164887,46557,48438,32680,183231,47088,178473,108848.4444,151217.3894,85708.59565,77080.81333,122512.9228,40788.8561,128624.3738,102942.7905,69765.3636,76310.74599,24065.54011,59251.22387,8390.365435,73945.4358
743,1.724,309.03965,Unknown,[M-H]-,null,0.03,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,743,0,0,null,null,null,null,null,null,null,5837.97,5102023_STU_2_008,308.99290:344 309.03965:14730 309.10842:6357 309.15929:464 309.20649:230 310.06301:5875 310.11883:912 310.93317:772 311.05124:682 311.06944:660 311.09236:199,128.03529:1008 181.09765:2073 196.91177:620 214.92443:725 225.08529:2912 260.92652:581 309.03554:2465 310.06631:569,187649,103890,97130,80508,88784,223780,95377,171250,211060,94393,181725,79729,227304,287688,251603,66045,266554,71345,257577,325380,240742,66988,216690,90878,97497,145161,60985,140181,110838,73649,91380,112558,49400,83755,120458,48609,101259,54055,40597,130722,44673,137017,81673,88616,60729,100799,139756,150882,69915,99822,67632,77283,170573,68424,127607,136737,63052,108289,63263,160680,207094,126427,58351,137609,63313,202106,182989,179646,77352,149191,77274,121966.4392,95276.07184,116061.7254,162746.6172,97689.79285,188416.2512,108850.8207,46864.88324,29692.55653,49808.13669,86302.86894,72193.35336,79506.1796,50814.7284
744,0.913,309.11776,Unknown,[M-H]-,null,0.01,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,744,0,0,null,null,null,null,null,null,null,7475.06,5102023_SOU_2_018,309.08293:1490 309.11776:16979 309.19521:702 310.09402:596 310.11763:2166 310.14020:197 310.92642:466 310.96521:750 311.12299:384,96.96114:1099 127.00582:1268 128.03355:7563 302.13345:687,182457,55340,152098,100810,41606,107549,58516,115327,51026,127385,145126,120630,384807,120987,237773,121442,348733,130768,235785,180296,170251,40510,33933,35371,37059,52059,64747,12872,35263,38962,80452,71531,50886,87922,61623,139292,69737,32607,64955,123465,104385,72824,11726,27085,76326,64901,16882,41262,74290,73224,80673,29820,95082,43355,73801,72695,83509,41197,78947,182462,59377,72687,60318,130248,180386,175581,96699,45220,69101,54268,74902,78081.69369,67545.46656,78132.50664,144414.2694,140522.1738,112829.742,51799.21768,60133.85018,41522.71598,31272.33895,111232.276,86056.50632,79773.60583,21059.89525
745,1.927,309.87255,Unknown,[M-H]-,null,0.01,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,745,0,0,null,null,null,null,null,null,null,6263.06,582023_BLD_2_023,309.87255:4752 309.89600:3107 310.87034:2152 310.92986:1922 310.99065:263 311.83207:1107 311.86408:312,101.93883:742 112.98346:768 130.96378:713 145.93073:1043 153.90262:653 174.95233:2284 197.88939:856 215.91107:1012 235.92709:529 241.87802:514 243.87652:946 254.85438:958,0,185786,275598,245943,199307,216021,238652,217771,305240,283763,184805,283481,60700,57467,35025,152078,177858,152310,0,11415,0,178181,186611,223348,246200,303450,439681,253102,288254,243632,270468,273014,272074,231463,239265,125553,103596,119443,203898,213879,218118,109486,172235,134732,196832,220253,259144,0,179401,277911,250078,270532,299555,266738,275643,287734,197875,216875,281867,73630,55708,55090,179440,171626,139007,25054,63968,9964,183589,204743,154114,122277.3494,279511.2501,255913.7957,76245.76497,178690.4365,58539.36649,200757.1976,114626.2551,66567.11773,34782.28688,32044.74116,28412.82861,65107.70592,30640.8277
746,5.476,310.14075,Unknown,[M-H]-,null,0.03,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,746,0,0,null,null,null,null,null,null,null,11031.44,5102023_IPA_2_013,310.14037:53319 310.20519:950 310.22422:1016 310.23935:616 310.25530:324 310.26827:480 310.34323:359 310.35353:423 310.43251:529 310.50335:481 310.59255:197 310.85984:229 310.93042:2427 311.01842:399 311.14571:11692 311.16649:6354 311.22574:378 311.24674:182 312.15095:2084 312.16455:1685,96.95864:1012 112.98418:1418 124.01420:913 125.09469:513 130.96235:807 165.01765:787 174.95446:2131 183.01168:4635 184.01798:1116 193.08567:6087 194.08752:545 195.02691:1003 209.08053:3118 223.09687:3377 224.09983:597 237.07390:1763 238.07345:520 251.09313:3808 252.09498:1500 254.07996:634 310.14045:10673 311.16545:12483 312.16949:2648 313.18024:2080,69993,60790,94607,42271,60214,25928,102649,46731,69464,49327,39786,46281,149990,341775,204940,17193,19375,20703,140201,43962,71227,28007,26271,31005,52587,56637,48143,39980,22346,86073,33075,77780,52264,40191,48618,77349,179222,155070,10448,14691,10667,71173,24962,47211,33707,25557,16054,71606,63999,54835,47536,45421,17747,64497,38131,74220,49357,40635,44865,108538,260497,146694,8005,9505,13727,142187,45280,63531,27692,21039,28411,63794.75173,54404.85827,50950.69465,180452.8909,13812.52623,72192.70505,26415.95391,7650.540738,16498.26,21401.45368,80270.76097,4529.357426,41799.41081,5236.793171
747,3.752,310.86897,Unknown,[M-H]-,null,0.01,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,747,0,0,null,null,null,null,null,null,null,6943.75,582023_All_QC_003,310.86897:8992 310.92769:1305 311.15891:505 311.86400:363 312.12326:980 312.14816:212 312.86909:959,126.90319:1585 130.96475:908 174.95370:1712 180.91102:1545 266.87336:707 282.86789:677 310.86771:645,529,418,4791,1992,3599,1134,1096,176,330,423,269,2376,0,825,0,1615,0,1542,77,1848,51,167,261,817,245849,3966,4839,5969,3919,3613,60,5121,2038,675,1875,1587,14955,312,3808,1893,2549,0,61,0,4559,1302,1457,0,84,124,1889,4188,4363,0,335,3189,0,2084,0,1235,0,0,3128,413,740,0,0,361,1536,2401,0,49375.81866,3484.147374,1575.154381,2101.605665,1743.182927,266.5989361,1388.985541,109831.8671,1820.714991,1625.468713,4857.069192,1261.356127,604.0994902,1419.977481
748,0.71,310.96845,Unknown,[M-H]-,null,0.04,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,748,0,0,null,null,null,null,null,null,null,5299.67,5102023_GER_1_032,310.96719:18321 310.99595:5064 311.02291:361 311.05734:391 311.07670:825 311.09267:697 311.36091:218 311.97329:1910 312.00126:750 312.89807:1454 312.93416:2005 312.94581:3473 313.00704:429 313.11360:1493,85.02764:679 87.00681:923 96.95780:1335 111.00737:7025 128.03491:1488 129.01633:526 139.00235:751 153.06832:625 182.96045:1314 183.96635:528 185.04711:611 191.01899:7207 231.04294:556 232.98986:846 247.98016:533 263.94530:809 281.03554:1293 310.99474:897,147224,151629,208551,253696,229770,232099,226153,76204,189765,164147,105178,179476,131168,57736,68960,109502,95665,100117,67282,132153,76251,159669,239368,137243,111523,172987,228072,158172,281084,214965,121512,134929,144415,76357,197792,87907,44819,50357,94402,114433,99520,47484,61984,88873,26427,255422,175106,123468,137902,161814,214406,201445,243762,199825,157008,156319,150416,97645,170777,106927,49945,60771,108940,87916,92189,65081,71947,62276,22667,238404,164448,134349.2692,203212.6099,167610.8534,73176.56365,100298.2294,74814.4637,157639.406,16706.21414,32948.68656,55158.05125,29567.31047,8910.241669,24279.41606,85855.70359
749,9.229,311.16561,Unknown,[M-H]-,null,0.01,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,749,0,0,null,null,null,null,null,null,null,28334.94,582023_STU_2_008,311.16561:28323 311.25447:803 311.28769:225 311.94103:507 312.16953:5762 312.85429:489 313.16663:2068,112.98338:156 119.04929:476 126.90296:15491 149.09572:853 183.01031:12051 184.01660:3017 185.01088:796 197.02477:362 311.16592:26239 311.24521:1137 312.16910:5456 313.16696:1886,826157,931966,928690,914104,963504,980332,1668792,952676,913646,930816,930098,913935,807122,784835,756075,934987,896350,970311,696689,698753,736906,956985,970920,941965,1536715,806710,793531,1006230,660171,575566,676292,633380,662291,644244,593174,971819,1008156,1688153,659618,759234,844640,970241,2708135,1404922,696059,667977,682440,694158,797067,774033,780724,761869,769205,691194,796198,776118,769995,789633,736464,720199,778785,676908,754782,667024,702717,671940,641647,597492,796686,770064,774542,957212.5423,858821.6221,812581.8997,910228.18,798851.5047,1014080.535,806404.1422,334843.1672,93736.38092,232878.392,311547.2208,116753.7649,682898.8569,121064.1901
750,8.823,311.16648,Unknown,[M-H]-,null,0.04,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,750,0,0,null,null,null,null,null,null,null,36764.67,582023_All_QC_003,311.16574:49244 311.23322:868 311.24812:503 311.26201:562 311.27341:570 311.28770:289 311.53988:287 312.07607:198 312.16874:10832 313.16642:3540,112.98253:1517 119.04782:1269 126.90274:10532 130.96251:680 149.09840:714 169.99960:971 174.95376:1130 183.01003:33290 184.01586:8483 185.00934:2326 197.02287:925 198.03364:558 311.16572:75381 311.24446:1778 311.26109:782 311.27915:2529 311.34758:593 311.51191:523 311.58909:511 312.16919:14956 313.16432:5976,976176,4019763,1830232,1428319,1643767,547392,532042,366100,543536,543356,1209092,986917,1818108,930939,889873,1229062,1189197,711951,809732,787325,1974841,1271963,1267711,546076,5026017,3280794,836001,1084269,2493213,1078383,1050247,974198,1253613,592505,1039424,1757509,3659667,987379,1256344,435744,1565164,2742943,947389,2712324,1370131,766995,1296617,780038,451980,585908,1497774,2624433,2578149,836238,1543841,2488564,894365,1501439,862710,579028,439759,773149,443059,784624,1333566,620589,2033318,791465,1229348,1190357,1749298,2250794.774,1645721.924,1138825.039,1315045.681,994301.2083,1491102.965,1187610.4,2112736.698,853567.6044,658144.1274,998953.9665,409616.8689,872422.5821,347212.8883
751,8.925,311.16714,Unknown,[M-H]-,null,0.04,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,751,0,0,null,null,null,null,null,null,null,35008.89,582023_STU_QC_006,311.16585:50715 311.23290:927 311.24781:412 311.25772:641 311.27213:318 311.28743:522 311.30275:315 311.33730:607 311.35757:293 311.45100:237 311.53247:301 311.54913:228 311.58699:298 311.61055:253 311.66839:640 311.75019:322 311.93671:422 311.95137:181 311.96467:214 312.16973:9038 313.06258:174 313.07776:436 313.16488:3760 313.23343:469,119.04886:938 170.00107:616 183.00974:20499 183.05719:866 184.01691:5743 185.00494:1272 197.02573:756 311.16574:50357 311.25156:2496 311.43060:1156 311.60245:556 312.16974:9577 313.05389:523 313.16431:3795,948867,1796266,3687041,2229567,2503791,1445126,713624,1247835,1416212,1439127,2043463,976224,1073310,905717,866851,2031508,993244,1625316,790352,774563,1440108,2128873,2141988,1431322,2870581,1499523,1442139,3414068,1310440,673341,1633071,1536929,1948435,1188001,1567186,2639604,1827531,1011999,2203826,1156392,2741372,1714740,974870,5448027,2898880,1277372,754550,768146,1200369,1309090,2482481,1511432,1469528,808219,2540195,1492052,1561097,3225699,840881,1280046,1169356,758967,1159968,759280,1941932,1235060,1298197,1365097,1920655,1873374,1185934,1516845.895,2231014.652,1479842.208,1281486.676,1623648.612,1671223.872,1734772.176,850585.4097,879092.0193,603156.583,597634.3515,654927.4883,1449461.055,641619.671
752,6.491,311.16733,Unknown,[M-H]-,null,0.45,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,752,0,0,null,null,null,null,null,null,null,117339.6,5102023_SOU_1_017,311.12820:337 311.16693:179066 311.22624:1130 311.26271:2873 311.27851:1742 311.29150:3667 311.32811:839 311.34271:932 311.36011:477 311.37407:970 311.38947:469 311.40686:357 311.42803:1314 311.45474:1009 311.50282:1735 311.52761:829 311.55208:275 311.57959:1811 311.61200:405 311.63623:465 311.66537:737 311.69370:424 311.81306:394 311.83044:457 311.86061:697 311.89977:255 311.92914:552 311.95622:258 312.02448:441 312.09695:1885 312.17102:30885 312.24705:317 312.27740:1774 312.30431:247 312.31374:317 312.36564:528 312.41760:337 312.44109:221 312.45905:402 312.48854:388 312.52733:590 312.55267:324 312.72948:134 312.76866:156 312.82890:183 312.84039:254 312.85151:302 313.11928:311 313.16664:11721,119.04932:1856 134.04414:520 149.09514:32480 150.09753:3656 170.00275:1418 183.01048:45102 183.05623:2010 183.27434:809 184.01706:11273 185.00972:3297 186.01564:559 197.02661:1650 198.03003:967 225.05914:475 239.07603:609 311.16687:123788 311.22934:2537 311.25977:2408 311.28476:1121 311.31348:968 311.34320:1127 311.38315:581 311.40323:563 311.41675:556 311.44098:567 311.47925:644 311.53476:1247 311.57388:445 311.62259:924 311.71069:723 311.76199:710 312.16980:26036 312.26169:1671 312.31729:515 312.39868:980 312.73871:570 313.16568:7367 314.16483:1483,5791532,5857569,6739318,5860525,5620841,6456795,6949784,6796781,5665368,5674191,5607641,7274085,6324310,6103991,4849771,7730604,7411129,5917034,5984127,6232729,5406704,6238369,7203195,7856017,19394731,5290719,5784563,5874011,4689061,3763828,4409977,4862532,4289800,4073432,4658264,10879908,10165908,11447218,7234146,7017105,8353865,14722464,12603253,14867870,5895853,5471204,4755705,5439657,5681463,4312476,5582879,4713908,4572975,4560201,4373812,5490886,4356518,5541919,5882705,3821657,3660511,4221114,5770070,4424363,4774935,5425660,6841454,3979932,5524913,5254322,5978258,8432990.368,5531026.736,5235740.751,6830487.57,6514805.684,8451577.054,6019759.543,6129861.183,704583.8624,1009715.917,3151486.268,1357503.141,4326609.126,972544.5433
753,6.389,311.16746,Unknown,[M-2H]2-,null,0.42,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,753,0,0,null,null,null,null,null,null,null,199272.7,582023_All_QC_003,311.16744:780145 311.21229:6103 311.23916:17519 311.26013:8172 311.27743:6712 311.29715:10522 311.31936:7603 311.33829:7740 311.36131:7632 311.37500:2639 311.39691:7455 311.42527:8323 311.45376:5688 311.48175:5738 311.49633:4518 311.51425:7903 311.53972:7410 311.56264:3001 311.58478:5451 311.60681:2439 311.62197:5485 311.64270:2712 311.66036:5393 311.68199:5403 311.70452:3710 311.73395:6402 311.76410:3480 311.78803:1023 311.80498:2743 311.82810:2577 311.84847:2739 311.88803:2045 311.91276:1806 311.92852:1194 311.95111:2193 311.97699:1333 312.01580:1021 312.05373:1107 312.07779:1471 312.09880:1145 312.16932:271015 312.24398:2088,79.95576:3579 119.04806:20824 120.05145:1984 149.09480:1847 155.98755:2023 170.00122:10608 183.01044:285961 183.06506:14857 183.08012:1654 183.09615:1472 183.11179:1543 183.16084:1928 183.20662:3589 183.22612:989 183.23398:1387 183.24843:1676 183.26466:1347 183.28073:764 183.29694:1282 183.34425:1388 183.36073:840 183.37563:954 183.39133:739 183.48575:726 183.51852:764 183.56589:688 183.61360:856 183.72415:983 183.91797:2345 183.98511:89684 184.01660:940 184.06284:3015 184.15207:1499 184.19081:791 184.38417:697 184.47182:882 184.59082:833 185.01071:27860 185.06700:1527 186.01341:4260 197.02567:11033 198.03162:6641 199.02682:1466 211.04137:1910 212.04871:2233 225.05563:4479 226.05833:2029 239.07204:5631 240.07698:1432 247.20346:3384 253.09012:1464 311.08533:1159 311.11734:601743 311.23853:15997 311.25653:6075 311.27863:3530 311.29782:3537 311.31879:3579 311.33768:2175 311.36218:3640 311.38391:4107 311.39697:625 311.42355:3427 311.45297:6216 311.47760:2138 311.50079:3565 311.52243:2796 311.54053:2704 311.56006:2264 311.58499:2490 311.60422:2747 311.62155:1636 311.64331:1285 311.66415:1693 311.68198:2144 311.70358:793 311.72369:1323 311.74435:960 311.76382:860 311.78448:883 311.80667:647 311.82751:932 311.84766:849 311.92972:1796 311.99628:849 312.01584:627 312.03491:947 312.16913:163402 312.24628:6015 312.26889:2475 312.28491:724 312.30798:1646 312.33160:1906 312.34540:1374 312.37149:1692 312.38834:1359 312.42877:1696 312.46329:1612 312.49179:1429 312.54004:988 312.55688:784 312.65402:1411 312.67908:1131 312.70703:1598 312.72449:681 312.77356:836 313.03967:709 313.09613:1129 313.12256:57430 313.24030:2736 313.35611:1115 313.39633:967 313.41083:840 313.50562:784 313.77728:1028 313.91721:740 314.16672:9836 314.24875:916 314.59894:722 315.15482:1437,7526517,7607749,4535311,7830433,7208188,4859764,4956223,4931371,7398858,7405830,7319128,5253756,4399479,4230415,6786158,5428661,5285641,7777638,4457916,4582638,7332580,8120392,5066251,5347045,23984794,6580679,4874474,7184536,3748238,4927682,3480005,3659307,3377450,3303840,3843814,12579586,12106499,13138201,9208803,8424588,9739212,18083086,15415423,17403718,4438679,4203065,5912786,3667849,4145615,5631156,4232387,6030508,5838956,5831364,5621961,4137077,5766489,3921058,4084721,5039632,4837726,5471113,4164624,6497714,6316794,3748787,4278969,5612945,8863155,8473589,4415122,9386504.653,6011963.479,4936518.668,7620978.66,6982630.481,8990673.626,6093342.422,8365158.963,1285631.404,1314708.488,3820178.079,1909846.24,6108817.509,1878108.194
